reference_id,species,common_name,sample,Sample name,Collection date,description,Isolation source,aligned_reads,total_reads,preprocessed_reads,SARS2_aligned_reads
AC_000022.2,Rattus norvegicus,brown rat,06-29-abv1,Env_0620,2020-01-23,RNA sequencing of total nucleic acids from environmental swabs for metagenomics,West Wine of HSM,5,1079014964,851766352,0
AC_000022.2,Rattus norvegicus,brown rat,1-27-11,Env_0642,2020-01-27,RNA sequencing of total nucleic acids from environmental swabs for metagenomics,West Wine of HSM (Sewers or sewerage wells),8,821800418,571936703,0
AC_000022.2,Rattus norvegicus,brown rat,1-27-12,Env_0643,2020-01-27,RNA sequencing of total nucleic acids from environmental swabs for metagenomics,West Wine of HSM (Sewers or sewerage wells),3,2038484394,2029664714,0
AC_000022.2,Rattus norvegicus,brown rat,1-27-28,Env_0657,2020-01-27,RNA sequencing of total nucleic acids from environmental swabs for metagenomics,West Wine of HSM (Sewers or sewerage wells),0,290477942,289352462,0
AC_000022.2,Rattus norvegicus,brown rat,1-27-33,Env_0660,2020-01-27,RNA sequencing of total nucleic acids from environmental swabs for metagenomics,West Wine of HSM (Sewers or sewerage wells),0,92724742,92465142,0
AC_000022.2,Rattus norvegicus,brown rat,1-27-37,Env_0664,2020-01-27,RNA sequencing of total nucleic acids from environmental swabs for metagenomics,West Wine of HSM (Sewers or sewerage wells),0,31618120,6,0
AC_000022.2,Rattus norvegicus,brown rat,1-27-52,Env_0674,2020-01-27,RNA sequencing of total nucleic acids from environmental swabs for metagenomics,West Wine of HSM (Sewers or sewerage wells),0,701188896,698284766,0
AC_000022.2,Rattus norvegicus,brown rat,1-29-19,Env_0697,2020-01-29,RNA sequencing of total nucleic acids from environmental swabs for metagenomics,East Wine of HSM (Sewers or sewerage wells),7,1042784520,1038295720,0
AC_000022.2,Rattus norvegicus,brown rat,1-29-23,Env_0701,2020-01-29,RNA sequencing of total nucleic acids from environmental swabs for metagenomics,East Wine of HSM,3,1015046760,1010877214,0
AC_000022.2,Rattus norvegicus,brown rat,1-29-4,Env_0682,2020-01-29,RNA sequencing of total nucleic acids from environmental swabs for metagenomics,East Wine of HSM (Sewers or sewerage wells),0,199019734,164237260,0
