sample,Sample name,Collection date,description,Isolation source,total_reads,preprocessed_reads,SARS2_aligned_reads,percent_preprocessed_reads_aligning_to_SARS2
06-29-abv1,Env_0620,2020-01-23,RNA sequencing of total nucleic acids from environmental swabs for metagenomics,West Wine of HSM,1079014964,851766352,0,0
1-27-11,Env_0642,2020-01-27,RNA sequencing of total nucleic acids from environmental swabs for metagenomics,West Wine of HSM (Sewers or sewerage wells),821800418,571936703,0,0
1-27-12,Env_0643,2020-01-27,RNA sequencing of total nucleic acids from environmental swabs for metagenomics,West Wine of HSM (Sewers or sewerage wells),2038484394,2029664714,0,0
1-27-28,Env_0657,2020-01-27,RNA sequencing of total nucleic acids from environmental swabs for metagenomics,West Wine of HSM (Sewers or sewerage wells),290477942,289352462,0,0
1-27-33,Env_0660,2020-01-27,RNA sequencing of total nucleic acids from environmental swabs for metagenomics,West Wine of HSM (Sewers or sewerage wells),92724742,92465142,0,0
1-27-37,Env_0664,2020-01-27,RNA sequencing of total nucleic acids from environmental swabs for metagenomics,West Wine of HSM (Sewers or sewerage wells),31618120,6,0,0
1-27-52,Env_0674,2020-01-27,RNA sequencing of total nucleic acids from environmental swabs for metagenomics,West Wine of HSM (Sewers or sewerage wells),701188896,698284766,0,0
1-29-19,Env_0697,2020-01-29,RNA sequencing of total nucleic acids from environmental swabs for metagenomics,East Wine of HSM (Sewers or sewerage wells),1042784520,1038295720,0,0
1-29-23,Env_0701,2020-01-29,RNA sequencing of total nucleic acids from environmental swabs for metagenomics,East Wine of HSM,1015046760,1010877214,0,0
1-29-4,Env_0682,2020-01-29,RNA sequencing of total nucleic acids from environmental swabs for metagenomics,East Wine of HSM (Sewers or sewerage wells),199019734,164237260,0,0
1-29-8,Env_0686,2020-01-29,RNA sequencing of total nucleic acids from environmental swabs for metagenomics,East Wine of HSM (Sewers or sewerage wells),359030832,357570380,0,0
10-31-In2,Env_0617,2020-01-23,RNA sequencing of total nucleic acids from environmental swabs for metagenomics,West Wine of HSM,704128496,567138296,0,0
10-31-abv2,Env_0619,2020-01-23,RNA sequencing of total nucleic acids from environmental swabs for metagenomics,West Wine of HSM,1360832396,1069146734,0,0
629-1-L1,Env_0875,2020-02-29,RNA sequencing of total nucleic acids from environmental swabs for metagenomics,West Wine of HSM,252411094,252223628,0,0
