fastq Crits-Christoph,GISAID accession,SHA512,Sample title Crits-Christoph,Collection date Crits-Christoph,fastq NGDC,Run accession NGDC,Sample name NGDC,Sample title NGDC,Collection date NGDC
E100000803_L01_36.fq.gz,EPI_ISL_13052298,c7639636a29b48ce772c16e569cff8418f2d2950f3f17e4eac5e5428ed2b23690fcb0b24b95231dc1f51e6cb1b0572ec396efebcbe17f4160843d15f9a8a7961,Q61,2020-01-12,CRR710762.fq.gz,CRR710762,Env_0576,Q61,2020-01-12
E100000803_L01_40.fq.gz,EPI_ISL_13052299,92dc8c231a17b719d863436e512906a2977b1a6acf98d7ce38016ac4a38d4ef019baf512056e6cb714875632d7924be446602b66a2483a8710e9b3ed36b86e0d,Q64,2020-01-12,CRR710763.fq.gz,CRR710763,Env_0579,Q64,2020-01-12
E100000804_L01_16.fq.gz,EPI_ISL_13052300,af33c98642ec9e564cc05bca288dc80729b6b3f8b6458efce6727db3429b8d9e58c3b8fc8443d0264e71e1a9854fab2c565b252d214f048182dd9b549a4c4c92,Q68,2020-01-12,CRR710764.fq.gz,CRR710764,Env_0583,Q68,2020-01-12
E100000804_L01_17.fq.gz,EPI_ISL_13052301,530d980b82b3b2e5130c7beb36b83ada13534a21c05bfb089e6ca3841bf8c3cbee230363c237dbb32597f0c8a30a302b69f2ddc4b12ecf513b1c3ab0b5d78503,Q69,2020-01-12,CRR710765.fq.gz,CRR710765,Env_0584,Q69,2020-01-12
E100000804_L01_20.fq.gz,EPI_ISL_13052302,69ef2d3345d3670f557ad9a32080cfe589ab3242bb4fbdd79ee703e5298a542af5cd9ed6e6746e30085e2a2347566713e1d5e9a408c3ea28e54b2d5ce86f036e,Q70,2020-01-12,CRR710766.fq.gz,CRR710766,Env_0585,Q70,2020-01-12
E100001221_L01_28_1.fq.gz,EPI_ISL_13052303,8d260dfffc0ccbf53fb4a988115fba248d4253d1ce45d2fac82b3fb348c5021e6e11cdca629e4e90cb018de8a29b8286c402f042a17c12697d9cca0b3694bf8d,1-29-8,2020-01-29,CRR710770_f1.fq.gz,CRR710770,Env_0686,1-29-8,2020-01-29
E100001221_L01_28_2.fq.gz,EPI_ISL_13052303,1a02746995e508d345630174e8fc41312d8b35af52c0bd912d651bd1a7951680c7c7c45808887d65e09284b6c795359008d75ae91638ca0b146ecb0a989d4373,1-29-8,2020-01-29,CRR710770_r2.fq.gz,CRR710770,Env_0686,1-29-8,2020-01-29
E100001233_L01_1.fq.gz,EPI_ISL_13052309,ea0b7f3415eebd53cc280a1a997bd3cf6fa6e09b72f81412f463bb439477e290df6207175222c6bef0be496c72f4d7045fc936e612d8d053a65495e3c1edce8e,W-8-25-D1,2020-02-15,CRR710786.fq.gz,CRR710786,Env_0806,W-8-25-D1,2020-02-15
E100001233_L01_10.fq.gz,EPI_ISL_13052315,5b6ceb0f545d9e564c3a64d3f95d655cdcde0b7237940f4e9e39ba2effc024d7f90ebdb44ba41c24964a7bf02905039e560ac3de24e2de79663911a06fcacdff,WWS-1#,2020-02-15,CRR710798.fq.gz,CRR710798,Env_0816,WWS-1#,2020-02-15
E100001233_L01_12.fq.gz,EPI_ISL_13052310,9bde9c06cb1f1b06ef052e6f764f0b10bf0892bb87f28e63a74863bdd22aaade5806189386d394500e08ff50368b2844fe19f642871d187b66673dc59027f0b3,W-8-25-D2,2020-02-15,CRR711156.fq.gz,CRR711156,Env_0807,W-8-25-D2,2020-02-15
