Sample name,Sample title,Public description,Collection date,Run accession,BioSample accession,fastqs,Isolation source,Experiment accession,Experiment title,Platform,Library Construction / Experimental Design,Strategy,Source,Selection,Layout,Read length for mate1(bp),Read length for mate 2(bp),download_urls,md5_checksums
Env_0552,Q37,RNA sequencing of total nucleic acids from environmental swabs for metagenomics,2020-01-12,CRR710761,SAMC1152959,['CRR710761.fq.gz'],West Wine of HSM,CRX637072,Env_0552,DNBSEQ-T7,RNA sequencing of total nucleic acids from environmental swabs for metagenomics,RNA-Seq,METAGENOMIC,RANDOM,FRAGMENT,,,['ftp://download.big.ac.cn/gsa/CRA010170/CRR710761/CRR710761.fq.gz'],['74e8b66f6a3b8cb1e4a04b589ef52a6a']
Env_0576,Q61,RNA sequencing of total nucleic acids from environmental swabs for metagenomics,2020-01-12,CRR710762,SAMC1152960,['CRR710762.fq.gz'],West Wine of HSM,CRX637073,Env_0576,DNBSEQ-T7,RNA sequencing of total nucleic acids from environmental swabs for metagenomics,RNA-Seq,METAGENOMIC,RANDOM,FRAGMENT,,,['ftp://download.big.ac.cn/gsa/CRA010170/CRR710762/CRR710762.fq.gz'],['4220b999467e0dac777845092f1930e0']
Env_0579,Q64,RNA sequencing of total nucleic acids from environmental swabs for metagenomics,2020-01-12,CRR710763,SAMC1152961,['CRR710763.fq.gz'],West Wine of HSM,CRX637074,Env_0579,DNBSEQ-T7,RNA sequencing of total nucleic acids from environmental swabs for metagenomics,RNA-Seq,METAGENOMIC,RANDOM,FRAGMENT,,,['ftp://download.big.ac.cn/gsa/CRA010170/CRR710763/CRR710763.fq.gz'],['11b31f0b62702116249e32227ca6a7a0']
Env_0583,Q68,RNA sequencing of total nucleic acids from environmental swabs for metagenomics,2020-01-12,CRR710764,SAMC1152962,['CRR710764.fq.gz'],West Wine of HSM,CRX637075,Env_0583,DNBSEQ-T7,RNA sequencing of total nucleic acids from environmental swabs for metagenomics,RNA-Seq,METAGENOMIC,RANDOM,FRAGMENT,,,['ftp://download.big.ac.cn/gsa/CRA010170/CRR710764/CRR710764.fq.gz'],['4600e4e7cd2922743d773cfe919c1573']
Env_0584,Q69,RNA sequencing of total nucleic acids from environmental swabs for metagenomics,2020-01-12,CRR710765,SAMC1152963,['CRR710765.fq.gz'],West Wine of HSM,CRX637076,Env_0584,DNBSEQ-T7,RNA sequencing of total nucleic acids from environmental swabs for metagenomics,RNA-Seq,METAGENOMIC,RANDOM,FRAGMENT,,,['ftp://download.big.ac.cn/gsa/CRA010170/CRR710765/CRR710765.fq.gz'],['82460ce4f40ba12c73a6a1ce2c4e5ff3']
Env_0585,Q70,RNA sequencing of total nucleic acids from environmental swabs for metagenomics,2020-01-12,CRR710766,SAMC1152964,['CRR710766.fq.gz'],West Wine of HSM,CRX637077,Env_0585,DNBSEQ-T7,RNA sequencing of total nucleic acids from environmental swabs for metagenomics,RNA-Seq,METAGENOMIC,RANDOM,FRAGMENT,,,['ftp://download.big.ac.cn/gsa/CRA010170/CRR710766/CRR710766.fq.gz'],['11ab596d5f38d31ad3354560379e029e']
Env_0686,1-29-8,RNA sequencing of total nucleic acids from environmental swabs for metagenomics,2020-01-29,CRR710767,SAMC1152965,"['CRR710767_f1.fq.gz', 'CRR710767_r2.fq.gz']",East Wine of HSM (Sewers or sewerage wells),CRX637078,Env_0686,DNBSEQ-T7,RNA sequencing of total nucleic acids from environmental swabs for metagenomics,RNA-Seq,METAGENOMIC,RANDOM,PAIRED,100.0,100.0,"['ftp://download.big.ac.cn/gsa/CRA010170/CRR710767/CRR710767_f1.fq.gz', 'ftp://download.big.ac.cn/gsa/CRA010170/CRR710767/CRR710767_r2.fq.gz']","['1a54cddc5d76067803284411ae9b7167', 'd7bb4db00456d2a296985c1fa320c57e']"
Env_0686,1-29-8,RNA sequencing of total nucleic acids from environmental swabs for metagenomics,2020-01-29,CRR710768,SAMC1152965,"['CRR710768_f1.fq.gz', 'CRR710768_r2.fq.gz']",East Wine of HSM (Sewers or sewerage wells),CRX637078,Env_0686,DNBSEQ-T7,RNA sequencing of total nucleic acids from environmental swabs for metagenomics,RNA-Seq,METAGENOMIC,RANDOM,PAIRED,100.0,100.0,"['ftp://download.big.ac.cn/gsa/CRA010170/CRR710768/CRR710768_f1.fq.gz', 'ftp://download.big.ac.cn/gsa/CRA010170/CRR710768/CRR710768_r2.fq.gz']","['c7943d4034bb8ed2e884308f91aa6497', '21c9b68d272f2ba446f21d1210594c56']"
Env_0686,1-29-8,RNA sequencing of total nucleic acids from environmental swabs for metagenomics,2020-01-29,CRR710769,SAMC1152965,"['CRR710769_f1.fq.gz', 'CRR710769_r2.fq.gz']",East Wine of HSM (Sewers or sewerage wells),CRX637078,Env_0686,DNBSEQ-T7,RNA sequencing of total nucleic acids from environmental swabs for metagenomics,RNA-Seq,METAGENOMIC,RANDOM,PAIRED,100.0,100.0,"['ftp://download.big.ac.cn/gsa/CRA010170/CRR710769/CRR710769_f1.fq.gz', 'ftp://download.big.ac.cn/gsa/CRA010170/CRR710769/CRR710769_r2.fq.gz']","['064c93523a260f186c11d09266a44fde', '249f023086f1a624cabe297051ad9b7a']"
Env_0686,1-29-8,RNA sequencing of total nucleic acids from environmental swabs for metagenomics,2020-01-29,CRR710770,SAMC1152965,"['CRR710770_f1.fq.gz', 'CRR710770_r2.fq.gz']",East Wine of HSM (Sewers or sewerage wells),CRX637078,Env_0686,DNBSEQ-T7,RNA sequencing of total nucleic acids from environmental swabs for metagenomics,RNA-Seq,METAGENOMIC,RANDOM,PAIRED,100.0,100.0,"['ftp://download.big.ac.cn/gsa/CRA010170/CRR710770/CRR710770_f1.fq.gz', 'ftp://download.big.ac.cn/gsa/CRA010170/CRR710770/CRR710770_r2.fq.gz']","['65d4ea6559a7d9b40e61e8925013d073', 'a29119d506ebda0c4b83f174b6651fc2']"
