species,sample,% mammal mitochondrial reads from species,reads aligning to SARS2,total pre-processed reads
raccoon dog,HJ200050-20200112-1,93.8,0,101361076
raccoon dog,HJ200023-20200112-1,92.9,0,68844779
raccoon dog,HJ200048-20200112-1,91.9,0,123116540
raccoon dog,HJ200019-20200112-1,89.9,0,69992042
raccoon dog,Q61,81.3,1,206952411
raccoon dog,HJ200017-20200112-1,80.6,0,107421631
raccoon dog,629-3-C,78.4,0,250454674
raccoon dog,HJ200044-20200112-1,75.7,0,121186442
raccoon dog,HJ200014-20200112-1,70,0,107463832
raccoon dog,HJ200047-20200112-1,65.6,0,140712756
raccoon dog,HJ200011-20200112-1,60.8,0,58499377
raccoon dog,HJ200018-20200112-1,53.4,0,138553142
raccoon dog,HJ200013-20200112-1,50,0,108905023
raccoon dog,HJ200012-20200112-1,49.8,0,130288508
raccoon dog,HJ200043-20200112-1,48,0,82606767
raccoon dog,HJ200027-20200112-1,43.3,0,89627309
raccoon dog,HJ200024-20200112-1,42.3,0,97913441
raccoon dog,HJ200001-20200112-1,37.6,0,116406869
raccoon dog,HJ200016-20200112-1,33.1,0,116465438
raccoon dog,HJ200007-20200112-1,31.3,0,136766253
raccoon dog,HJ200020-20200112-1,31.1,0,79069690
raccoon dog,HJ200006-20200112-1,30.1,0,128816135
raccoon dog,HJ200009-20200112-1,27.1,0,149933181
raccoon dog,HJ200045-20200112-1,26.7,0,105877396
raccoon dog,HJ200026-20200112-1,24.8,0,104056584
raccoon dog,HJ200022-20200112-1,23.5,0,123574447
raccoon dog,HJ200004-20200112-1,23.2,0,227303961
raccoon dog,HJ200065-20200112-1,22.1,0,72963379
hoary bamboo rat,629-13-L,85.1,0,151459636
hoary bamboo rat,HJ200041-20200112-1,56.3,0,175895251
hoary bamboo rat,HJ200015-20200112-1,55.6,0,135394104
hoary bamboo rat,HJ200065-20200112-1,55.6,0,72963379
hoary bamboo rat,629-1-L1,55.2,0,252223628
hoary bamboo rat,629-5-L4,54.4,0,142601298
hoary bamboo rat,HJ200062-20200112-1,42.4,0,176948654
hoary bamboo rat,HJ200013-20200112-1,37,0,108905023
hoary bamboo rat,HJ200049-20200112-1,30.7,0,103553042
hoary bamboo rat,HJ200046-20200112-1,28.2,0,106387561
hoary bamboo rat,HJ200030-20200112-1,27.6,0,113506988
hoary bamboo rat,HJ200067-20200112-1,27,0,76812627
hoary bamboo rat,HJ200025-20200112-1,21.2,0,122866404
hoary bamboo rat,Q68,20.2,6,87071974
Amur hedgehog,W-8-25-L2,75.7,0,311100451
Amur hedgehog,HJ200040-20200112-1,75.3,0,147915888
Amur hedgehog,HJ200038-20200112-1,63.3,0,100630232
Amur hedgehog,HJ200039-20200112-1,62.4,0,122568305
Amur hedgehog,8-25-CK,62.3,0,1453179148
Amur hedgehog,W-8-25-L,58.9,0,287565064
Amur hedgehog,HJ200035-20200112-1,58.7,0,71848972
Amur hedgehog,8-25-M1,53.1,24,440431146
Amur hedgehog,HJ200033-20200112-1,50.9,0,116115128
Amur hedgehog,W-8-25-D2,50,0,330304703
Amur hedgehog,W-8-25-D1,49.7,0,286139338
Amur hedgehog,HJ200045-20200112-1,40.9,0,105877396
Amur hedgehog,HJ200032-20200112-1,35.4,0,140056192
Amur hedgehog,8-25-M2,24.4,0,1619753176
Amur hedgehog,HJ200036-20200112-1,20.8,0,223587184
Malayan porcupine,Q70,93.5,2,145502956
Malayan porcupine,HJ200001-20200112-1,23.4,0,116406869
Himalayan marmot,HJ200005-20200112-1,36.5,0,115290866
masked palm civet,HJ200042-20200112-1,22.2,0,189564681
