Run accession,reference_id,aligned_reads,covered_bases,species,common_name,SARS2_aligned_reads,total_reads,preprocessed_reads,sample,Sample name,Collection date,description,Isolation source
CRR710761,NC_029403.1,0,0,Paguma larvata,masked palm civet,5,106545428,90854684,Q37,Env_0552,2020-01-12,RNA sequencing of total nucleic acids from environmental swabs for metagenomics,West Wine of HSM
CRR710761,NC_012095.1,1,43,Sus scrofa,pig,5,106545428,90854684,Q37,Env_0552,2020-01-12,RNA sequencing of total nucleic acids from environmental swabs for metagenomics,West Wine of HSM
CRR710761,NC_050263.1,0,0,Hystrix brachyura,Malayan porcupine,5,106545428,90854684,Q37,Env_0552,2020-01-12,RNA sequencing of total nucleic acids from environmental swabs for metagenomics,West Wine of HSM
CRR710761,NC_021478.1,0,0,Rhizomys pruinosus,hoary bamboo rat,5,106545428,90854684,Q37,Env_0552,2020-01-12,RNA sequencing of total nucleic acids from environmental swabs for metagenomics,West Wine of HSM
CRR710761,NC_020011.1,31,1108,Channa maculata,snakehead fish,5,106545428,90854684,Q37,Env_0552,2020-01-12,RNA sequencing of total nucleic acids from environmental swabs for metagenomics,West Wine of HSM
CRR710761,NC_028308.1,1,43,Felis margarita,sand cat,5,106545428,90854684,Q37,Env_0552,2020-01-12,RNA sequencing of total nucleic acids from environmental swabs for metagenomics,West Wine of HSM
CRR710761,NC_023982.1,168,3224,Amaurornis akool,brown bush hen,5,106545428,90854684,Q37,Env_0552,2020-01-12,RNA sequencing of total nucleic acids from environmental swabs for metagenomics,West Wine of HSM
CRR710761,NC_030041.1,2487,12972,Ptyas mucosa,Oriental rat snake,5,106545428,90854684,Q37,Env_0552,2020-01-12,RNA sequencing of total nucleic acids from environmental swabs for metagenomics,West Wine of HSM
CRR710761,NC_003192.1,0,0,Monopterus albus,swamp eel,5,106545428,90854684,Q37,Env_0552,2020-01-12,RNA sequencing of total nucleic acids from environmental swabs for metagenomics,West Wine of HSM
CRR710761,NC_014686.1,0,0,Micropterus salmoides,Largemouth bass,5,106545428,90854684,Q37,Env_0552,2020-01-12,RNA sequencing of total nucleic acids from environmental swabs for metagenomics,West Wine of HSM
CRR710761,NC_011389.1,1697,14650,Naja atra,Chinese cobra,5,106545428,90854684,Q37,Env_0552,2020-01-12,RNA sequencing of total nucleic acids from environmental swabs for metagenomics,West Wine of HSM
CRR710761,NC_031867.1,3,129,Columba rupestris,pigeon,5,106545428,90854684,Q37,Env_0552,2020-01-12,RNA sequencing of total nucleic acids from environmental swabs for metagenomics,West Wine of HSM
